Idx,Company,Currency,Exchange,Right,Strike,Multiplier,Expiration Date,Ask Close
18,ERO,USD,SMART,PUT,17.5,100,20220819,
19,ERO,USD,SMART,PUT,15,100,20220715,
20,LUN,CAD,CDE,PUT,11,100,20220715,
21,BESI,EUR,FTA,PUT,50,100,20221216,4.95
51,PAAS,USD,SMART,PUT,23,100,20220715,
55,UMI,EUR,BELFOX,PUT,34,100,20230317,2.21
56,ENX,EUR,FTA,PUT,74,100,20220819,2.2
57,BIM,EUR,DTB,PUT,80,100,20221216,
58,REC,EUR,IDEM,PUT,40,100,20220616,1.39
59,REC,EUR,IDEM,PUT,37,100,20221215,2.78
60,QIA,EUR,DTB,PUT,36,100,20221216,2.44
61,QIA,EUR,DTB,PUT,36,100,20230317,3.13
62,CDA,AUD,ASX,PUT,7.5,100,20220616,
63,NST,AUD,ASX,PUT,9,100,20220616,
64,EVN,AUD,ASX,PUT,3.8,100,20220616,
65,ANN,AUD,ASX,PUT,26.5,100,20220616,
66,NCM,AUD,ASX,PUT,25,100,20220616,
69,UBI,EUR,DTB,CALL,54,100,20220617,
70,TTE,USD,SMART,CALL,56,100,20220624,
